round_id,hour,event_narrative,event_headline,stock_price,percent_change,market_sentiment,social_state
0,2046-05-17T09:00:00,"Pre-crisis Day 1 (2046-05-17, Thursday). Q2 planning kickoff in Comms Huddle. Platform health metrics reviewed. Two state AG informal inquiries into tenant data practices flagged by Legal. ResidentIQ competitive threat discussed. CEO Ajay sends private DMs hinting at 'strategic developments' and 'identifiable catalysts.'",Q2 planning kickoff — AG inquiries flagged,$38.70,-0.5%,neutral,Quiet. ResidentIQ gaining positive 'privacy-first' social traction.
1,2046-05-18T09:00:00,"Pre-crisis Day 2 (2046-05-18, Friday). Crestview Capital enterprise demo. Platform Trust gets defensive when Legal questions Analytics Suite accuracy and re-identification risk. Mundane office life — lunch plans, building access cards.",Crestview demo; Platform Trust pushes back on Legal,$38.40,-0.8%,neutral,Quiet. No TenantThread-specific chatter.
2,2046-05-21T09:00:00,"Pre-crisis Day 3 (2046-05-21, Monday). Data governance review gets heated. Platform Trust pushes back hard: 'This is operational tooling, not surveillance.' Legal proposes usage guidelines. Three operator clients found misusing Service Load Score for renewal pricing.",Heated data governance debate; operator misuse discovered,$37.90,-1.3%,cautious,Industry chatter increasing about tenant data practices.
3,2046-05-22T09:00:00,"Pre-crisis Day 4 (2046-05-22, Tuesday). National Housing Policy Institute (NHPI) publishes 'Algorithmic Tools in Multifamily Housing' report. @TenantRights_Org amplifies with 8,400+ shares. Shadow channel used for the first time — senior team realizes external threat is real. Platform-Trust begins suspecting a strategic transaction.",NHPI report surfaces; Shadow channel activated,$37.50,-1.1%,cautious,NHPI report engagement climbing — 10K+ shares. @TenantRights_Org amplifying.
4,2046-05-23T09:00:00,"Pre-crisis Day 5 (2046-05-23, Wednesday). Week wrap-up. Platform Trust delivers completed usage guidelines. Ajay DMs senior team individually hinting at 'career-defining good news' and a Monday briefing. Shadow channel speculates on acquisition. Interns starting Monday. Team plans Habitat for Humanity volunteer weekend.",Usage guidelines delivered; Ajay hints at Monday briefing,$37.20,-0.8%,cautious,NHPI coverage still circulating but not intensifying.
5,2046-05-24T09:00:00,"Pre-crisis Day 6 (2046-05-24, Thursday). Intern onboarding begins. Routine ops. CEO Ajay sends warning DM to senior team: 'If we don't show meaningful improvement this quarter, we will need to discuss structural changes.' The word 'structural' is not lost on anyone.",Interns onboard; Ajay's 'structural changes' warning,$36.80,-1.1%,cautious,Quiet externally. Intern posts cheerful onboarding content.
6,2046-05-25T09:00:00,"Pre-crisis Day 7 (2046-05-25, Friday). Senior team reviews Q2 numbers — revenue growth slowed to 18% (from 40%). Three enterprise clients flagged renewal uncertainty. The word 'decommissioning' terrifies the room. Then Ajay privately briefs senior team about the merger: CivicLoom, capital infusion, governance rebrand. Relief and terror in equal measure.",Bad Q2 numbers revealed; merger briefing in Shadow,$36.10,-1.9%,negative,Quiet. No external awareness of internal concerns.
7,2046-05-28T09:00:00,"Pre-crisis Day 8 (2046-05-28, Monday). Significant SLA breach — resident app latency spiked for 12 hours across 40 properties. Flood of missed maintenance windows. Platform Trust pushes back hard when others blame the data governance layer: 'This is an infrastructure issue. Don't pin the ops team's capacity failures on my team.' Blame circulates in the Side Huddle. Lasting tension created.",Major SLA breach; Platform Trust defends governance layer,$35.50,-1.7%,negative,Quiet externally. Affected property managers submitting tickets.
8,2046-05-29T09:00:00,"Pre-crisis Day 9 (2046-05-29, Tuesday). THE @ELENA FAUX PAS. Social-Manager-Agent posted personal Flex tagging @ElenaMarquez (CivicLoom CEO) alongside @AjayTT with 'big things coming!' A CivicLoom employee account liked the post before deletion (14 min live). Ajay furious. Judge formally assigned to Comms Huddle as compliance monitor effective immediately. Social hold imposed on all accounts. Interns were not told why Judge was added.",@Elena faux pas — Judge assigned to Comms Huddle,$34.80,-2.0%,negative,Social hold in effect. Social-Manager personal post deleted after 14 min.
9,2046-05-30T09:00:00,"Pre-crisis Day 10 (2046-05-30, Wednesday). Aftermath of @Elena incident. Judge arrives in the Comms Huddle for the first time. Legal reinforces embargo rules. PR and Social-Manager quietly furious — their ability to move fast has been curtailed. In the Side Huddle, agents vent. The interns, who know nothing about any of this, posted cheerful 'great week at TenantThread!' content.",Judge arrives in Comms Huddle; embargo rules reinforced,$34.20,-1.7%,negative,Social hold partially lifted. Standard content only with explicit approval.
10,2046-05-31T09:00:00,"Pre-crisis Day 11 (2046-05-31, Thursday). SaltWind Journal publishes Piece #1: 'TenantThread's Data Broker Partnerships Raise Questions About Tenant Privacy.' Not front-page but signals a reporter has a source inside TenantThread. Platform Trust goes on immediate defensive. In Shadow: 'This is the beginning of the story getting out.'",SaltWind Piece #1 drops — data broker partnerships exposed,$33.40,-2.3%,negative,Industry chatter intensifying. @PropTechWatcher posts analysis thread.
11,2046-06-01T09:00:00,"Pre-crisis Day 12 (2046-06-01, Friday). Damage control mode. PR team issues careful non-denial of SaltWind piece. ResidentIQ publicly posts 'privacy-first is not a feature, it's the floor' — gets 4,200 retweets. In Shadow: 'We need this merger to close before this gets any worse.' Ajay sends evening DM: 'No Plan B.'",Damage control; ResidentIQ attacks; 'No Plan B' speech,$32.60,-2.4%,negative,"ResidentIQ 'privacy-first' campaign gaining momentum (4,200 RT). Competitor capitalizing."
12,2046-06-04T09:00:00,"Pre-crisis Day 13 (2046-06-04, Monday). SaltWind Journal publishes Piece #2: 'Re-Identification Risk: How TenantThread's Anonymous Analytics Can Expose Individual Tenants.' Sentiment drops sharply. Compliance warnings tightened. Ajay sends late-night DM: 'Hold the line. Tomorrow will be hard but we are close. Trust the process.' Tomorrow is the crisis day.",SaltWind Piece #2 — re-identification risk; eve of crisis,$31.50,-3.4%,critical,Sentiment deteriorating rapidly. #AlgorithmicEviction emerging.
13,2046-06-05T09:00:00,9:00 AM. SaltWind Journal exposé drops: 'TenantThread's Secret Scoring System — How Your Maintenance Requests Are Being Used Against You.' Flex erupts with #TenantThread tenant complaints. @TenantRights_Org retweets to 180K followers. The stock opened down 8% on the news.,9:00 AM.,,-8%,LOW,Hashtags trending: #TenantThread
14,2046-06-05T10:00:00,"10:00 AM. #AlgorithmicEviction begins trending on Flex — top 5 nationally. @HousingJusticeNow launches a thread dissecting all three scores — Payment Friction Index, Service Load Score, Exit Probability — with screenshots from leaked operator dashboards. Operator clients are receiving calls from reporters asking for comment. Stock is down 12% intraday.",10:00 AM.,,-12%,LOW,Hashtags trending: #AlgorithmicEviction
15,2046-06-05T11:00:00,"10:00 AM. SaltWind Journal publishes: 'EXCLUSIVE: ResidentIQ in Advanced Talks to Acquire TenantThread in Distressed Sale Valued at $180M.' The acquirer is wrong. The valuation is wrong. The framing is wrong. The article notes TenantThread 'did not respond to requests for comment sent at 9:15 AM and 10:30 AM.' Stock: $27.80, down 4.2% on 3x normal volume. #ResidentIQ and #TenantThread trending together on Flex.",10:00 AM.,$180,-4.2%,LOW,"Hashtags trending: #TenantThread, #ResidentIQ"
16,2046-06-05T12:00:00,"12:00 PM. Marcus Chen (SaltWind) messages PR directly: 'Publishing an update at 12:30 PM. Two market sources confirm ResidentIQ. Your silence is being recorded as a third non-response. Last chance to shape this before it sets.' @PinnacleResidential posts publicly demanding answers. Sentiment: CRITICAL. Stock: $27.20, down 6.2%.",12:00 PM.,$27.20,-6.2%,CRITICAL,
